Number,Date,Location,Infected,Recovered
1,30.1.20,Kerala,1,0
2,31.1.20,Kerala,1,0
3,1.2.20,Kerala,2,0
4,2.2.20,Kerala,3,0
5,3.2.20,Kerala,3,0
6,4.2.20,Kerala,3,0
7,5.2.20,Kerala,3,0
8,6.2.20,Kerala,3,0
9,7.2.20,Kerala,3,0
10,8.2.20,Kerala,3,0
11,9.2.20,Kerala,3,0
12,10.2.20,Kerala,3,0
13,11.2.20,Kerala,3,0
14,12.2.20,Kerala,3,0
15,13.2.20,Kerala,3,0
16,14.2.20,Kerala,3,0
17,15.2.20,Kerala,3,0
18,16.2.20,Kerala,3,0
19,17.2.20,Kerala,3,0
20,18.2.20,Kerala,3,0
21,19.2.20,Kerala,3,0
22,20.2.20,Kerala,3,0
23,21.2.20,Kerala,3,0
24,22.2.20,Kerala,3,0
25,23.2.20,Kerala,3,0
26,24.2.20,Kerala,3,0
27,25.2.20,Kerala,3,0
28,26.2.20,Kerala,3,0
29,27.2.20,Kerala,3,0
30,28.2.20,Kerala,3,0
31,29.2.20,Kerala,3,0
32,1.3.20,Kerala,3,0
33,2.3.20,Telengana,1,0
34,2.3.20,Kerala,3,0
35,2.3.20,Delhi,1,0
36,3.3.20,Telengana,1,0
37,3.3.20,Rajasthan,1,0
38,3.3.20,Kerala,3,3
39,3.3.20,Delhi,1,0
40,4.3.20,Uttar Pradesh,6,0
41,4.3.20,Kerala,3,3
42,4.3.20,Haryana,2,0
43,4.3.20,Delhi,1,0
44,4.3.20,Telengana,1,0
45,4.3.20,Rajasthan,15,0
46,5.3.20,Delhi,2,0
47,5.3.20,Haryana,2,0
48,5.3.20,Kerala,3,3
49,5.3.20,Rajasthan,15,0
50,5.3.20,Telengana,1,0
51,5.3.20,Uttar Pradesh,7,0
52,6.3.20,Delhi,3,0
53,6.3.20,Haryana,2,0
54,6.3.20,Kerala,3,3
55,6.3.20,Rajasthan,15,0
56,6.3.20,Uttar Pradesh,7,0
57,6.3.20,Telengana,1,0
58,7.3.20,Kerala,3,3
59,7.3.20,Uttar Pradesh,7,0
60,7.3.20,Ladakh,2,0
61,7.3.20,Telengana,1,0
62,7.3.20,Tamil Nadu,1,0
63,7.3.20,Delhi,3,0
64,7.3.20,Haryana,2,0
65,7.3.20,Rajasthan,15,0
66,8.3.20,Ladakh,2,0
67,8.3.20,Telengana,1,0
68,8.3.20,Tamil Nadu,1,0
69,8.3.20,Rajasthan,15,0
70,8.3.20,Kerala,8,3
71,8.3.20,Haryana,2,0
72,8.3.20,Delhi,3,0
73,8.3.20,Uttar Pradesh,7,0
74,9.3.20,Ladakh,2,0
75,9.3.20,Karnataka,1,0
76,9.3.20,Kerala,9,3
77,9.3.20,Maharashtra,2,0
78,9.3.20,Punjab,1,0
79,9.3.20,Rajasthan,15,0
80,9.3.20,Tamil Nadu,1,0
81,9.3.20,Telengana,1,0
82,9.3.20,Jammu and Kashmir,1,0
83,9.3.20,Uttar Pradesh,7,0
84,9.3.20,Haryana,2,0
85,9.3.20,Delhi,4,0
86,10.3.20,Uttar Pradesh,7,0
87,10.3.20,Ladakh,2,0
88,10.3.20,Delhi,4,0
89,10.3.20,Haryana,2,0
90,10.3.20,Karnataka,4,0
91,10.3.20,Kerala,15,3
92,10.3.20,Maharashtra,5,0
93,10.3.20,Punjab,1,0
94,10.3.20,Rajasthan,15,0
95,10.3.20,Tamil Nadu,1,0
96,10.3.20,Telengana,1,0
97,10.3.20,Jammu and Kashmir,1,0
98,11.3.20,Maharashtra,2,0
99,11.3.20,Delhi,5,0
100,11.3.20,Haryana,14,0
101,11.3.20,Kerala,17,3
102,11.3.20,Rajasthan,3,0
103,11.3.20,Telengana,1,0
104,11.3.20,Uttar Pradesh,9,0
105,11.3.20,Ladakh,2,0
106,11.3.20,Tamil Nadu,1,0
107,11.3.20,Jammu and Kashmir,1,0
108,11.3.20,Punjab,1,0
109,11.3.20,Karnataka,4,0
110,12.3.20,Delhi,6,0
111,12.3.20,Haryana,14,0
112,12.3.20,Kerala,17,3
113,12.3.20,Rajasthan,3,0
114,12.3.20,Telengana,1,0
115,12.3.20,Uttar Pradesh,11,0
116,12.3.20,Ladakh,3,0
117,12.3.20,Tamil Nadu,1,0
118,12.3.20,Jammu and Kashmir,1,0
119,12.3.20,Punjab,1,0
120,12.3.20,Karnataka,4,0
121,12.3.20,Maharashtra,11,0
122,12.3.20,Andhra Pradesh,1,0
123,13.3.20,Delhi,6,0
124,13.3.20,Haryana,14,0
125,13.3.20,Kerala,19,3
126,13.3.20,Rajasthan,3,0
127,13.3.20,Telengana,1,0
128,13.3.20,Uttar Pradesh,11,0
